order_id,aisle_id
162,120;117;42;24;83;106;43;21;59;16
163,123;21;83;24;52;92;45;121;107;108;86;112;67
164,86;123;24;83;9;23
165,39;83;74;75;45;79;24;21;55
166,45;123;89;21;13;129;83;69
167,77;13;96;24
168,96;78;107;2
169,123;24;37;17;130;54;50;86
171,77;54
172,72;106;24;36
173,102;107;3;69;112;120
174,24;130;117;123;121;75;12;83;84;72;21;48
175,17;115;24;116;83;117;123;129;59
176,24;83;120;112;14
177,123;24;53;116;98;83;21;32
178,53;88
179,21;107;67;128;123
180,83;16;24;116;117
181,116;81;17;24;59;91;69
183,94;120
184,31;24;120;17;53;105;123
185,83;16;86;119;120;117;131;108
186,21;120;84;115;121;52;88
187,24;121;116;78;107;96;112;43
188,83;37;16
189,54;22;115;98;31
190,123;83;24;86;31;91;81;59
191,124;28;38;61;2
192,24;29;99;120;106;78;36;107;91;114;20
193,19;120;94;69;115;24;86;108;95;9;38
194,28;98;29;80;83;124;21;74
195,24;91;83;120;35;19;81;131;53;21;77;123;61;17;108;106;45;105;52;48
196,50;78;61;26;24;91;123;83
197,66;24;69;91;130;115;14;88;63
198,36;45;120;24;57;37;69;130;94
199,108;54;77;24;112;72;107
200,34;77;115
201,108;49;83;104;48;45;21
202,6
203,50
204,37;21;16;13
205,31;84
206,24;84;112;92;19
207,112;49;19;21;4;104
208,17;4;24;121;96;123;45;63;104;128;107;31
209,77;120;37;54;66
210,24;115;83;122;36;18;35;95;15;6
211,86;24
212,24;112;32
213,78;59;116;24;123;115;128
214,69;83;72;24;21;130;49;116
215,53;98
216,17;115;4;24;120;45;93
217,130;63;88
219,24;88;123;32
220,93;123;83
221,52;115;112;24;131;106;84;98
222,24;98;123;130;83;38;59;31;21;9;69;43
223,60;24;86;106;121;7;38;115;98;77;37;83;117;23;21;107;89
224,61;24;84;53;3;120;107;121;37;115;45;112;17
225,120;24;115;3;36;84;86
227,24;88;21;131;123
228,116;83;69;123;98;31;112;37;38;81;59;104;24;8;107;26;36;86;53;1
229,77;91;24;83;21;4;115;94;107
230,83;86;94;50;123;16;74
231,37;38;61;52;112;84;93;20;111;60;72;133;116;129
232,107;67;24;7;53;78;21;121;26;52;96;83;104;106;88;29;48
233,116;32;24
234,21;83;123;116;96;54;47;31
235,83;84;128;120;24;115;86;107;13;130
236,115;83;91;3;78;49;123;24;26;21
237,24
238,38;91
239,91;24;31;86;121;50;83;106;59;16;88;3;123;25
240,31;91;115;69;83;116;52;126;123;117
241,24;83;86;106;64
242,32;24
243,1;38;112;24;83
244,83;86;19;116;24;112;74
245,78
246,86;84;120
247,42;38;128;112;93;4;108;66;41;31;133;20;91;107
248,58;107;96;123;83;24;94;77;81;89;95;111;54
249,86;51;58;31;98;83;123;24;16;19;43;54
250,86;93
251,19;123;83;98;24;117;67;116;91;20;101;128;16;9
252,120;16;91;83;106
253,83;84;115
254,93;123;106;98;120;112;24;21;117;115;3;35;131;29;31;99;78;81;121
255,92;115;72;120;83;31;24
256,84;37;16;131;83;17;59;92;121;19;23;105
258,24;117;123;21;53;120
259,31;26;91;50;115;130;3
260,83;110;14;42;21;24;52;4;90;13;112;123
261,49;21;86;63;120;24;69;17;84;26
262,83;79;123
263,111;90;105;21
264,107;83;85
265,74;84;24;43;21;112;120;123;32;89;131;3;83;92;77;108;107;50;11;81;16;104;35
266,83;67;115;16;123;59;13;96
267,24;49;116;59;84;83
268,98
269,52
270,66;86;117;31;26
271,54;114;75;60
272,106;5;93;29;130;53;120;57;10;31;69;108;83;123;88;24
273,64;115;71;119;114;86
274,81;24;59;19;120;83;21;4;122;7
275,24;21;59;1;9;116;123;23;83;106
276,106;52;83;116;81
277,123;86;91;83;81
278,21;24;34;128
279,91;24;123;78;21;42;120;116;88;83
280,120;91;84;21;24;86;128;121;112;107;57;35;83;19;30;51;16
281,123;24;83;69
282,41;124;27
283,124;123;27;111
284,91;63;92;129;115;83;9;131;24
285,21;120;38;57;23;65
286,123;24;83;38;116;91;84;40;32;37;13
287,9;21;84;35;83;67;31
288,24;116;120;83;130;14;104
289,120;24;108;32;92;88;94;83;67;72;42;37
290,38;120;83;130;4
291,66;38;110;24;115;31;123
292,24;123;88;83;116;130;42;129
293,107;64;37;93;36;115;83;84;19;116;129;38;77;121;29
294,120;38
295,19;83;38;91
296,16;83;87;31
297,131;37;81;107;98;86;84;83;24;59;43
298,84;50;52;120;123;37
299,115;24;123;32
300,24;123;116;83
301,31;98;3
302,53;84;91;24;32;83;104;16
303,87;32;24
304,122;116;83;67;24
305,60;115;77
306,107;50;83;24;121;34;106;123;84;52;92;120;61;91
307,91;17;83;77;115;21
308,72;120;96;83;24;116;112
309,61
310,112;86;84;83;3;96;81;116;106;9;4;120
311,86;24;131;123;42
312,38;41
314,53;112;51
315,24;32;123;107;7;112;78;98;96;21;120;50;117;75;26;89;60;116;37
316,115;32;77;67;114;24
317,38;59;83;24;123;128;104;76;116;29;63;37;81
318,123;120;96;50
319,21;24;32;120;17
320,115;123;86;24;128
321,112;31;38;83;24;120;21;84;108;123;67;121;77;107;129;116
322,117;91;128;108;16;83;123
323,24;84;13;21;38;112;120;114;122;83
324,95;24;115
325,126;17
326,59;81;115;3;49;21;116;83;120;84;17;66
327,115;120;78;94;86;121;130;83
328,91;24;50;61;107;84;36;83;4
329,24;45;84;112;77;65;116;130;36;107;6;3;17;69;102;55;108;86;91
330,84;94;123;96;116
331,115;24;31;121;91;77;3;66;83;123;21
332,24;120;84;16;17;19
333,120;91;53;78;48
334,121;103;59;98
335,105;120;36;24;123;83;117;67;121;112;25
336,121;31;79;96;48;24;23;37;86;83;107
337,83;53;3;123;107;91;77;24;79;106;45;74;88;129;52;37;84;36;131
338,24;32;115;108;3;56;85;96;84;120;92;26;67;40;106;23;93;34;129;123
339,120;115;24;86;96;83
340,24;123;83;92;59;122;84;37;107;96;129;108
341,115
342,31;24;67;26;107;3;120
343,24;92;52;84;94
344,115;3;50;53;54
345,69;38;99;59;3;123;131;105;120
346,120;24;91;83
347,31;84;123;83;108;24;46;88;116
348,84;120;67;24
350,24;84;115;67;120;96;123;48;92
351,21;94;107;37
352,24;83;112;42;21;72
354,32;24;86;17;11;77;38;31
355,120;24;123;78;112;38;86;96;59;83;106
356,59;115;24
357,43;83;21
358,106;21;112;93;54
359,96;84;53;115;21;128;83;131;112;24;31;123;58;93;59;91;52
360,72;19;83;69;14;17;84;67;123
361,116;83;16;69;128;112;24;78;120;50
362,115;48;3
363,24;117;98;123;63
364,16;83;24;123;84
365,115;3;123
366,93;24;91;57;37;123;83;107
367,84;24;86;26;93;37;107;61;117;112;83;5;78;58
368,83;52;43
369,114;91;24;123
370,65;43;83;84;20;17;81;110
371,24;53;91;115;83;123;86;69;21;122;15
372,83;107;69;123;45
373,79;21;112;59;107;128;95
374,24;20;84;115
375,105;74;24;45;17;37;72;83
376,120;24;105;81
377,83;79;96;107;21;72;78;36;69
378,84
379,115;24;42;78;116;85
380,24;123;83;59;91;21;86;128;81;49;115
381,37;21;84;105;98;1;115;93;123;54;81;131;72;24;43;96;79;89;36;77;120
382,115;111;21;24;58;3;84;78;120;77;93;83
383,107
384,86;66;63;24;14;16;93
385,24;9;53;83;54
387,77;94;121;67;123;24;95;107;84;91
388,128;31;83;50;16;24;81;96;14;115;71;123;120
389,30
390,115;84;91;31;94;98;120;21;83;24;16;78;129;110;123;63;86;67;37;29;17;79
391,77;31;37;107;125;115
392,115;121;57;3;105
394,112;23;121;32
395,24;84;61;112;45;67;83;23;131;123;21;130
396,115;16;106;53;83;112
397,83;24
398,31;21;86;83;72;24;4;81;69;30;123;77;116
399,83
400,17;123;18;84;24;57;112;83;81;16;104;120;88;19;86
401,112;120;106
402,120;99;94
403,115;24;120;21;91;26;128;83;30;108;16;116;123
404,24;6;32
405,123;31;86;24;115;120;84;38;21;121
406,67;130;96;112;128;21;72;88;24;83;129;51;17;106;105;9;38;63
407,106;86;123;84;83;120
408,34;24;106;53;26;116;21;83;66;104;131;112;36;9
409,24;120;83;116;37;115;84
410,59;116;131;93;114;63;91;16;83;86;19
411,116;91;77;120;83;69
412,84
413,83;24;49;115;16;123;91;96;78;110
415,84;112;121;108;37;43;107;17;97;58;52;114;78;21
416,98;67
417,88;24;120;91;129
419,115;91;26;79;38
420,83;100;81;24;19;104
421,112;24;12;96;50;131;120
422,114;83;36;26;91;39;129;123;19;67;61
423,24;76;50;112;106;4;120;52;36;91;94;17;41
424,117;45
425,74;80;86;21;72;24;92;4;59;53
426,24;83;16;92;84;123;21;115;91;31;116
427,38;112;59;77;3;107;105;84
428,37
429,87;127;75;104;114;74;93;123
430,24;78
431,50;24;67;112;26;83;53;84;42;123;59;81;128;9;51;57;69;63;108;43;19
432,91;24;83;59;123;115;17
433,31;84;3;74;43;83;24;36
434,91;83;16;69;24;54;59;121;67;88;19;92;25;123
435,115;31;83;57;120;91;96;45;123;24
436,54;65;123;21;114;42
438,24
439,86;112;58;115;95;78;59;54;96;47;24;74
440,84;105;45;24;21;37;26;23;67;86;123;83
441,69;34;24;83;114;127;66;63;21;123
442,120;110;24;84;21;106;91;61
443,125;86;45;24;23;3;94;106
444,131;83;59;81;69;98;104;50;86
445,34;32
446,27;107;97;24;67;37
447,92;83;91;123;24;7
448,21;104;67;24
449,19;117;72;81;86;104;21;36;107;96;51;32;35
450,2;127;4;74;38;50;75;116
451,24;123;83;16;39
453,115;31;50;83;43;78;81;88;17;106;25;120;24
454,21;14;120;112;42;24;83;38;131;9;91;107;3;69;123;115;116;121;67;72;54;23;128;59;37;108
455,93;24;83;112
457,21;123;84;93;24;120;86;124;77;32;43;83
458,83;24;69
459,123;83;67;128;24;91;99;108;14;104;16;98;88;116;78;31
460,83;21;105;4
461,24;79;98;9;45;84;23;37;54;61;12;30;49;21;7;105;106;85;107;35;83;115
462,57;91;24;123;42;14;67;107;112
463,114
464,91;24;16;53;83;112;92;98;26;37;17;19;120;30
465,83;24;122;107;120
466,83;24;21;72;98
467,131;21;38;67;83;88;107;14;4;116;79;24;117;3
468,123;106
469,17;21;78;24;115
470,91;84;115;79;3;130;117;88
471,83;106;108;21;51;107;104
472,120;115;123;84
475,112;24;52;123
476,81;116;21;86;84
477,104;83
478,130;120;69;38;45;98
479,84;35;52;98;67;43
480,88;115;120;24;79;98;31;86
481,108;79;21;94;107
482,117;50;45;115;92;107;86;51;24;84;104;123
483,50;29;37;22
484,32;63;24
485,120
486,72;24;84;21;108;81;83;57
487,24;120;114;123;57;112;81;50
488,24;91;83
489,52;120;42;115
490,130;84;50;14;24;67;123;128;59;108;51;21;115;57;107;120;2;16
491,115;24;123;67;107;38;52;129;60
493,84;24;123;98;96;107;21;38;83;67;78;116
494,91;120;123;117;107;67;21;112;89;61
495,45;120;27
496,72;83;35
498,84;24;32;121;21;78
499,17;115;96;21;83
500,123;83;112;24
501,91;24;3;54;52;57;58;96;83;36;100;123;98;47;93
502,53;60;51;107;77;43;129
503,84;92;83;24
504,31;36;75;17;83;72;84;112;81;1;66;63;74
505,32;83;123
506,123;24;83;59;19;16;69;32
507,64;115
508,24;121;123;83;21;129;79
509,86;112;77;83;53;66;24
510,24;32
511,67
512,86;24;121
514,24;79;21
515,69;67;79;123;9;107;82;24;128
516,83;24;53;39;49;104;21;107;128
518,24;14;106;83;122
519,24
520,117;53;84;45;57;93;112;94
521,17;24;31;66;115
522,88;104;31;67;93;24;16;83;26;95;120;14;21;45
523,84;21;83
524,66;83;122;84;120
525,83;120;63;98;19;123;113;24
526,120;24;115;98;61;84;23;106;107;37
527,26;53;98;83;95;131;123;120;35;21
528,123;1;86
529,121;3;120;21;93;112;96;91;24;66;123;98;72;131;116;88;107
530,31;92
531,92;67;104
532,9;115;93;37
533,24;123;83;21
534,123
535,54;60;94
536,36;84;21;107;9;24;66
537,84;86;24;116;9;121
538,115;24;116;65;19;88;117
539,91;84;50;78;24;66;61;107;3
540,29;84
541,32;24
542,65;130;24;45
543,108;81;107
544,117;104;91;86;106;83;66;19;123;24;69;16;116;94
545,86;31
546,120;94;115;45;3;26;86;84;53;91
547,1;107;78;115;20;86;121;95;83;36
548,117
549,31;78;84;58;51;9;24;38;83;106;129;91;63;66;100;99;92;116
550,32;24
551,24;120;67;13
552,110;64;83;129
553,91;21;112;84;24
554,77;84;69
555,83;84;21;24;108;91
556,26;31
557,115;52;24;67;112;61;93;92;21;66;120;78;74;91;130;57;117;84;98
558,123;91
559,83;24;93;106;42
560,116;24;83;42;31;5
561,120;24;88;61;129;52;34;107;123
562,116;49;83;24;67;123;91;84;108;78;69
563,24;91;77;121;45;38;115
564,131;83;21;90;121;128;61;88
565,5;19;84;24;112;83;81;17;91;53;36
566,123;54;83;28;3;53;55;37;72;67
567,123;77;115
568,50;78;32;107;21
569,78;88;130;24;45
570,26;83;115;96;98;42;120;121;21;24;129;79;95;16;91;69;123;37
571,115;124;10
572,13;48;38;21;101;75
573,7;92;50;24;83;22;123;3;57;106;74
574,24;115;70;106;52;83;93;31;107;96
575,98;24;115;78;21;16;131;107;120;7;83;4;116;72;63;96
576,123;36;34
577,74;128;130;93;17;96;115;118;111;114
578,120;67;61;83;91;45;24;54;21;116;123;107;31;112;88
579,112;121;131;9;106;37;78
580,53;103;17;104;29
581,86;24;84;123;83;128;96
582,123;116;83;52;120;49;86;130;57;30;24
583,84;77;36;120;64;133;83;17;107;53
584,129;84;24;12;2;35;83;21;117;9;108;91;1;88;106;120;8;37;51
585,20;108;128;26;94;93;24;120
586,88;77;91;53;123;24
587,107;130;69;54;25;31
588,49;81;83;123;36;72;104;24;91;107
589,24;83;115
590,83
591,123;43;107;116;91;94;120;115;133;70
592,67;24;19;38;115;117;120;59;9
593,54;91;115;86;98;116;9;81;49
594,24;31;78;123;81;117;92;86;36;84;83;17;21;88;108;120
595,83;95;35;91;128;112;117;24;130
596,123;116;24
597,45;24;83;120;91;66
598,34;83;123;24;96;4;52;107
599,123;94;24;83;131;21
600,78;88;50;17;61;45;3;107
601,112;96;86;108;129;120;123;92;99;24;98;67;128;125;49;59;106;88;84;21
602,83;24;120;84;93;49;115;92;52;21
603,120;88;24;123;114;104;74;130;96;78;93;84;129;121;122;83;36;43;3
605,36;104
606,24;83;37;120;123
607,53;12;37;11
608,120;83;24;86;4;16;9;116;81;98;108;21;17;74;38
609,83;81;49;128;30;4;121
610,84;107;72;43
611,64;74;114;106;86;93;108;79
612,115;83;120;98;72;84;107;24
613,17;116;100;24;83;66;72;81;69;43;98;128;30;59
614,91;1;24
615,89;123;83;107;91;24;115
616,24;78;64;131;128;30;107;105;79;121;125;67;59;66;31;21
617,115;24;83;116;19;45;36;117
618,84;24;83;32;123;69
619,83
620,24;83;91;59;81;131;72;110;63;84;74
621,32;123;75;24
622,3;78;24;83;123;9;107;51
623,86;83;123;24;16;78
624,69;27;59;83;104;115
625,131;120;129;123;3;31;24;14
626,37;24;83;58;45;106
627,115;84;20;86;106;4;49;54;69;128;26;24;83;66;123;51
628,84;24;52;120
629,16;83;72;123;104;17;54;81
630,62;107;123;24;86;115;74;78
632,84;112;86;120;36;83
633,31;24;83;96;21;128;81;30;110;65;3;98;107
634,24;106;112;83;123;84
635,116;91;86;131;112;83;123;45
636,86;123;83;98;31;106;17
637,112;24;123;107;91
638,84;87;123;24;83;104;19;54
639,24;86;83;120;84
640,91;98;65;88;21;112
641,83;24;120;16;63;91;123
642,66;21;24;83;16;110;95;59;30;34;85
643,86;120;93;31;98;91;61;123;24
644,4;37;56;121;120;24;91;12;106
645,24;84;83;67;17;131
646,20;60;123;24;116;131;59
647,84;69;3
648,116;24;84;120;83
649,84;83;131;54;44;115;24
650,24;93;45;61;107;31;69
651,115;83;88;120;24;92;84;123;117;16;3;96;23;93;95;106;34
652,115;7;37;91
653,72;104;24;63;74;37;116;123;35
654,36;107;84;31;77;93;24
655,3;120;83;13;24;94;16;123;78;129
656,53;131;81;37;91
657,66;77;94;24;83;72;25;51
658,83;24;123;67;91;25;42
659,37;112;84;32;120
660,114;17;24;91;32;78;57;53
661,83;123;24;21;107;117;116;38;67;72;104;81;9;66;121;11
662,128
663,37;127;54;114
664,53
665,14;123;95;21;24
666,120;36;83;31;24;123
667,23;67
668,37;77;54;83;59;108
669,21;83;84;24;53;36
670,24;86;106;83;66
671,123;24;79;37;99;4;12
672,16;24;116;123;9;81;99;72;17;69;66;120;112;35;49
673,83;123;84;52;4;129;98;64
674,86;120;24;115;84;53;31;67;121;60
675,96;3;59;123;37;11;127
676,69;63;83;110;84;24
677,2;107;21;115;59;83;106
678,84;120;24;31;112;16;86;107;83;123;41;96;133;3
679,123;24;53;31
681,98;83;77;19
682,84
683,78;21;108;72;116;24;120;123
684,115;31;36;129;72;110;6
685,1;24;83;4;21;84;81;69;123;116;38;91;52;92;130;67
686,21
687,24;96;91;17;86
688,17;36;72;19;24;94;84;78;83;52;81
689,123;83;86;88;24;63;49;120
690,24;123;94;93;83;120;67
691,32;67;107;123;88;117;116;24
692,74;93;94;78;53;123
693,91
694,84;32;83;24;123;115;86
695,53;115;91;41;24;116;123;129;16;26;104;25;84;57;21
696,83;24;116;91;35
697,84;53;129;37;98;83;86;54;20;72;36;17
698,84;111;115;91;26;37;120;54;112;24
699,24;86;54;72;112;83;131;25;19;115;37;61;17
700,123;32;77;98;45;78;117;116;121;24;88
701,116;24;93;123;26;83;120
702,67
703,37;86;24;42;88
704,38;91;77;3;48;86;130;45;24;120;121;64;112;96;11;20;21;49;73
705,125;78;84;24
706,115;50;16;24;31;116;120;20;88;22
707,43;21;24;78;53
708,108;112;24;83;31
709,115
710,88;53;3;24
711,24;123;83;14;128;107;86;115;67;110;120;9;21
712,83;16;131;2
713,17;24;123
714,86;21
715,83;52;59;24;123;86
716,13
717,86;24;112;7;83;123;63;61;38;120;121
718,84;115;21;24;123;83;86;85;75;54;120;107
720,112;37
721,115
722,21;93;86;14;24;83;78;53;94;88;81;30;59
723,16;104;29;42;79;91
724,24;94;123
725,120;24;108;63;59;92;5;83
726,116;24;86;83;74;75
727,54;83;124;110;59;123;21;108;98;24;78;91;89;115;67;3;19;116;112
728,133;43;24;88;45;83;67;86;78;93;21;56;9;112;121;107;123;25;128;131;116;54;51
729,117;96;112;107;16;24;72;120;63;121;62
730,86;108;123;84;24
731,77;96;93;108;48;24;45;120
732,28;51;115;88;112;35;91;24;123;107;105
733,67;83;123;107
734,123;83;21;24;117;57;107;1;67;52;120;108;35
735,32;61;98;105;34;96;106;120;21;37
736,131;106;43;72;115;49;9;32;120;104;83;110;96
737,24;84;131;120;81;93;83;123
738,21;107;24;92;78;120;59;63;128
739,24
740,120;21;108;31;96;33;77;93;36;78
741,84;86;108
742,108;24;42;9;21;123;3;120;31;26;93;78;83;131;88;107;77;128;116;66;86;91;4;50;51;67;54
743,83;112
744,84;78;105;52;86;83;116;8;45
745,7;24;53
746,24;54;72;5;19;21;79;96;112
747,128;54;74;66;59;114;72
748,93;123;117;83
749,131;69;83;59;24;112;116;81;34;96;50
750,52;31;83;24;120;112;59;88;84;131;9;121;78;107;86;3;108;66;123
751,24
752,124;8
753,79;58;112;86;94
754,83;67;123;94;96;82;107;81;69;9;131;91;114;71;24;85;23;50;37;54
755,67;83;9;16;59
756,86;123;83;116
757,83;24;98;45;3
760,83;24
761,37
763,24;65;117
764,84;115;37;121;120;94;112;53
765,24;83;120;52;39;123;37;129;2;7;91;78;84
766,86;43;115;24;94;31
767,77;31;131;81;9;24;69;83;115
768,107;53;89
769,29;91;24;40;88
770,27
771,24;83;53;123;84;69;21;106;4;38;59;120;52;50;31;74;26;3;86;78
772,121;57;130;24;91;115;77
773,24;123;111
775,130;24;54;121;120;32;53;116;52;112;93;88;43;34;106;31;107;67;21;123;72;110;5;84;115;114;75;25;74;17;4;78;23
776,116;86;129;123;42
777,17;69;5;83;16;104;115;31;86;19
778,24;91;86;83;120;69;19;123;66;81;131;16
779,24
780,84;5
781,122;34;112;24;83;123;37
782,83;4;96;31;24;120;108;57;115;94;69;123;1
783,91;17;88;104;29;24;83;50;78;48
784,83;99;67;106;91;120;24;116;123;52;121;104;130;69;108
785,86;78;59;110;26;108;53
786,45;107;37
787,116;123;77;115;17;84;83;108;36;121;88;86;130
788,107;67;83;91;21;114;23;43
789,116;112;24;123;117
790,86;117;95;37;83;96;16;24;121
791,78;86;49;107
792,35;59;19;91;115
793,83;38;17;5;24;123
794,59;127;73;84;91;24;116;96;120;108;123;83;112;43;49;31
795,32;17;123
796,29
797,26;69;66;19;104
798,24;83;123;78;120
799,24;83;31;67;84;39
800,96;23;86;49;47;6
801,72;83;21;121
802,123
803,24;3;107
804,77;24;69
805,24;91;86;112;120;26;83;54;121;95
806,66;76
807,16;53;61;107;24
808,123;24
809,83;7;122;53;81;108;16;21;89
810,54;69;41;83;93;128;50
811,123;93;24;83;17;45;121
812,83;24;13;31;94;1
813,86;24;83;123;9;78;16;91;120
814,107;70;24;115;83
815,107;59;121;24;112;21;83;69;25;50;47;131;94;84;93
816,107;116;75
817,115;24
818,98;50;84;54;112;129;111;93;31;114;74;127;122;131;4;96;13
819,67;81;34
820,84;24;21;53;96;13;83;92;131;9
821,131
822,88;117;23
823,24;86;83;114;61;4;21;123;63
824,35;116;83;16;49;88;123
825,117;31;13;24;123;67;83;45
826,24;52;112;123;98;21;84;79;120
827,123;120;108
828,45;84;91;53
829,35;83;91;86;112;31;52;129;127;54;107
830,17;36;123;24;83;86;81
831,83;14;96;72
832,24;84;120;121;83;117;128;16
833,98;84;17;24;22
834,112;53;108;1;83
835,84;120;108;98;107;67;121;65;129;61;49;9;81;66;24
836,37;119;79
837,79;24;17;116;114;37
838,91;115;63;86;88;58;83;37;17
839,84;24;83;112
840,117;116;92;50;88;8
841,115
842,24;38;21;96;84;20;121;112
843,84;51;26;38;129;121;116;93;94;50;61;115;31;64;47
845,88;86
846,15;115;14;66;88;83;24
847,24;78;93;81;69;63;112
848,59;83;69;24;21;35;16;58
849,123;9;88
850,24
851,37;83;24;123;98;16;112;21;25;94
852,123;105;24;45
853,57;72;29;120;24;32
854,53;31;7;21;93;105;9;106;122;117;16;24;129;50;107;115;84
855,31;84;11;6
856,14;66;83;16;50;52;86;91;23
857,115;91;112;19;14;83;24;74;3;94;129;52;104;98;21;107;13
858,24;17;83;81;91;88;123
859,107;78;67;116;83;94
860,117;24;51;123;83;116;67;59;42;86;107;3
861,117;84;24;130;123;50;83;54;88;6
862,19;23;116;38;21;51;107;37;45;36;129;7;4
863,21;116;63;83
864,84;96;112;24;78;83;121;49;123;23
865,52;83;69;81;19;24;49
866,61;123;107;83;4;121;96
867,16;120;84;30
868,24;116;32;17
869,93;37;9;49;83;21;98;96;3;129
870,32;24;95
871,92;81
872,24;21;116;36;86;115;123;131;53;9;45;121;120
873,83;23;104;35;81;59;51;16
